date,retail_sales,unemployment_rate,consumer_sentiment,durable_goods,fed_fund_rate,cpi,expectation_inflation
2021-09-01,537292.0,4.8,72.8,270994.0,0.08,274.31,4.6
2021-08-01,557018.0,5.2,70.3,265120.0,0.09,273.567,4.6
2021-07-01,558031.0,5.4,81.2,240387.0,0.1,273.003,4.7
2021-06-01,562929.0,5.9,85.5,276422.0,0.08,271.696,4.2
2021-05-01,570641.0,5.8,82.9,247305.0,0.06,269.195,4.6
2021-04-01,558181.0,6.1,88.3,246489.0,0.07,267.054,3.4
2021-03-01,567933.0,6.0,84.9,279768.0,0.07,264.877,3.1
2021-02-01,440019.0,6.2,76.8,236976.0,0.08,263.014,3.3
2021-01-01,464362.0,6.3,79.0,222873.0,0.09,261.582,3.0
2020-12-01,559932.0,6.7,80.7,242573.0,0.09,260.474,2.5
2020-11-01,492362.0,6.7,76.9,222229.0,0.09,260.229,2.8
2020-10-01,495722.0,6.9,81.8,233711.0,0.09,260.388,2.6
2020-09-01,476247.0,7.8,80.4,236648.0,0.09,260.28,2.6
2020-08-01,488949.0,8.4,74.1,219612.0,0.1,259.918,3.1
2020-07-01,494905.0,10.2,72.5,205655.0,0.09,259.101,3.0
2020-06-01,481205.0,11.1,78.1,209441.0,0.08,257.797,3.0
2020-05-01,462286.0,13.3,72.3,175719.0,0.05,256.394,3.2
2020-04-01,377210.0,14.8,71.8,153677.0,0.05,256.389,2.1
2020-03-01,430527.0,4.4,89.1,211568.0,0.65,258.115,2.2
2020-02-01,415511.0,3.5,101.0,228317.0,1.58,258.678,2.4
2020-01-01,418734.0,3.5,99.8,211661.0,1.55,257.971,2.5
2019-12-01,521467.0,3.6,99.3,246086.0,1.55,256.974,2.3
2019-11-01,469003.0,3.6,96.8,227672.0,1.55,257.208,2.5
2019-10-01,456436.0,3.6,95.5,251376.0,1.83,257.346,2.5
2019-09-01,429556.0,3.5,93.2,251142.0,2.04,256.759,2.8
2019-08-01,473482.0,3.7,89.8,251572.0,2.13,256.558,2.7
2019-07-01,462097.0,3.6,98.4,233042.0,2.4,256.571,2.6
2019-06-01,448595.0,3.6,98.2,255421.0,2.38,256.143,2.7
2019-05-01,475897.0,3.7,100.0,243253.0,2.39,256.092,2.9
2019-04-01,442921.0,3.7,97.2,244742.0,2.42,255.548,2.5
2019-03-01,447155.0,3.8,98.4,280725.0,2.41,254.202,2.5
2019-02-01,384967.0,3.8,93.8,234582.0,2.4,252.776,2.6
2019-01-01,399461.0,4.0,91.2,233803.0,2.4,251.712,2.7
2018-12-01,493526.0,3.9,98.3,241646.0,2.27,251.233,2.7
2018-11-01,459319.0,3.8,97.5,228790.0,2.2,252.038,2.8
2018-10-01,441878.0,3.8,98.6,241364.0,2.19,252.885,2.9
2018-09-01,417172.0,3.7,100.1,249778.0,1.95,252.439,2.7
2018-08-01,456030.0,3.8,96.2,250261.0,1.91,252.146,3.0
2018-07-01,441767.0,3.8,97.9,215567.0,1.91,252.006,2.9
2018-06-01,443577.0,4.0,98.2,260417.0,1.82,251.989,3.0
2018-05-01,464050.0,3.8,98.0,240192.0,1.7,251.588,2.8
2018-04-01,420245.0,4.0,98.8,232143.0,1.69,250.546,2.7
2018-03-01,444994.0,4.0,101.4,267172.0,1.51,249.554,2.8
2018-02-01,380671.0,4.1,99.7,223148.0,1.42,248.991,2.7
2018-01-01,389808.0,4.0,95.7,202698.0,1.41,247.867,2.7
2017-12-01,497027.0,4.1,95.9,241197.0,1.3,246.524,2.7
2017-11-01,442077.0,4.2,98.5,228310.0,1.16,246.669,2.5
2017-10-01,417830.0,4.1,100.7,229121.0,1.15,246.663,2.4
2017-09-01,412578.0,4.2,95.1,245367.0,1.15,246.819,2.7
2017-08-01,431822.0,4.4,96.8,225464.0,1.16,245.519,2.6
2017-07-01,416900.0,4.3,93.4,198724.0,1.15,244.786,2.6
2017-06-01,423034.0,4.3,95.0,263928.0,1.04,244.955,2.6
2017-05-01,434450.0,4.4,97.1,221092.0,0.91,244.733,2.6
2017-04-01,407165.0,4.5,97.0,213102.0,0.9,244.524,2.5
2017-03-01,422891.0,4.4,96.9,251449.0,0.79,243.801,2.5
2017-02-01,365480.0,4.6,96.3,199829.0,0.66,243.603,2.7
2017-01-01,368960.0,4.7,98.5,193358.0,0.65,242.839,2.6
2016-12-01,482053.0,4.7,98.2,229243.0,0.54,241.432,2.2
2016-11-01,413872.0,4.7,93.8,213364.0,0.41,241.353,2.4
2016-10-01,397337.0,4.9,87.2,231422.0,0.4,241.729,2.4
2016-09-01,394147.0,5.0,91.2,230956.0,0.4,241.428,2.4
2016-08-01,416449.0,4.9,89.8,221537.0,0.4,240.849,2.5
2016-07-01,405935.0,4.8,90.0,197867.0,0.39,240.628,2.7
2016-06-01,410045.0,4.9,93.5,230820.0,0.38,241.018,2.6
2016-05-01,413047.0,4.8,94.7,217981.0,0.37,240.229,2.4
2016-04-01,394766.0,5.1,89.0,221215.0,0.37,239.261,2.8
2016-03-01,405050.0,5.0,91.0,243551.0,0.36,238.132,2.7
2016-02-01,363622.0,4.9,91.7,211114.0,0.38,237.111,2.5
2016-01-01,351890.0,4.8,92.0,199424.0,0.34,236.916,2.5
2015-12-01,464110.0,5.0,92.6,230959.0,0.24,236.525,2.6
2015-11-01,396150.0,5.1,91.3,216692.0,0.12,237.336,2.7
2015-10-01,392721.0,5.0,90.0,228138.0,0.12,237.838,2.7
2015-09-01,382135.0,5.0,87.2,231339.0,0.14,237.945,2.8
2015-08-01,405111.0,5.1,91.9,218267.0,0.14,238.316,2.8
2015-07-01,406760.0,5.2,93.1,216803.0,0.13,238.654,2.8
2015-06-01,398034.0,5.3,96.1,252759.0,0.13,238.638,2.7
2015-05-01,409703.0,5.6,90.7,211139.0,0.12,237.805,2.8
2015-04-01,387581.0,5.4,95.9,220091.0,0.12,236.599,2.6
2015-03-01,393318.0,5.4,93.0,249239.0,0.11,236.119,3.0
2015-02-01,342030.0,5.5,95.4,206166.0,0.11,234.722,2.8
2015-01-01,350466.0,5.7,98.1,200582.0,0.11,233.707,2.5
2014-12-01,451346.0,5.6,93.6,240457.0,0.12,234.812,2.8
2014-11-01,391652.0,5.8,88.8,216401.0,0.09,236.151,2.8
2014-10-01,388493.0,5.7,86.9,238710.0,0.09,237.433,2.9
2014-09-01,374507.0,5.9,84.6,249698.0,0.09,238.031,3.0
2014-08-01,401546.0,6.1,82.5,231195.0,0.09,237.852,3.2
2014-07-01,394790.0,6.2,81.8,286876.0,0.09,238.25,3.3
2014-06-01,385557.0,6.1,82.5,257228.0,0.1,238.343,3.1
2014-05-01,408383.0,6.3,81.9,231723.0,0.09,237.9,3.3
2014-04-01,383895.0,6.2,84.1,231365.0,0.09,237.072,3.2
2014-03-01,383642.0,6.7,80.0,251763.0,0.08,236.293,3.2
2014-02-01,337558.0,6.7,81.6,221433.0,0.07,234.781,3.2
2014-01-01,340558.0,6.6,81.2,203981.0,0.07,233.916,3.1
2013-12-01,430754.0,6.7,82.5,250119.0,0.09,233.049,3.0
2013-11-01,378800.0,6.9,75.1,233300.0,0.08,233.069,2.9
2013-10-01,369868.0,7.2,73.2,236784.0,0.09,233.546,3.0
2013-09-01,352749.0,7.2,77.5,248206.0,0.08,234.149,3.3
2013-08-01,388299.0,7.2,82.1,224074.0,0.08,233.877,3.0
2013-07-01,377031.0,7.3,85.1,208090.0,0.09,233.596,3.1
2013-06-01,369355.0,7.5,84.1,260225.0,0.09,233.504,3.0
2013-05-01,389709.0,7.5,84.5,238678.0,0.11,232.945,3.1
2013-04-01,362978.0,7.6,76.4,221353.0,0.15,232.531,3.1
2013-03-01,374171.0,7.5,78.6,232999.0,0.14,232.773,3.2
2013-02-01,332471.0,7.7,77.6,225639.0,0.15,232.166,3.3
2013-01-01,333663.0,8.0,73.8,204169.0,0.14,230.28,3.3
2012-12-01,416807.0,7.9,72.9,239368.0,0.16,229.601,3.2
2012-11-01,368593.0,7.7,82.7,209712.0,0.16,230.221,3.1
2012-10-01,355823.0,7.8,82.6,222736.0,0.16,231.317,3.1
2012-09-01,342582.0,7.8,78.3,223423.0,0.14,231.407,3.3
2012-08-01,372986.0,8.1,74.3,204001.0,0.13,230.379,3.6
2012-07-01,351520.0,8.2,72.3,206771.0,0.16,229.104,3.0
2012-06-01,356083.0,8.2,73.2,233259.0,0.16,229.478,3.1
2012-05-01,373129.0,8.2,79.3,220785.0,0.16,229.815,3.0
2012-04-01,349194.0,8.2,76.4,210894.0,0.14,230.085,3.2
2012-03-01,368502.0,8.2,76.2,240680.0,0.13,229.392,3.9
2012-02-01,331470.0,8.3,75.3,224922.0,0.1,227.663,3.3
2012-01-01,315540.0,8.3,75.0,204013.0,0.08,226.665,3.3
2011-12-01,408910.0,8.5,69.9,237529.0,0.07,225.672,3.1
2011-11-01,351517.0,8.6,63.7,206403.0,0.08,226.23,3.2
2011-10-01,337067.0,8.8,60.8,206574.0,0.07,226.421,3.2
2011-09-01,333642.0,9.0,59.5,221336.0,0.08,226.889,3.3
2011-08-01,352224.0,9.0,55.8,216719.0,0.1,226.545,3.5
2011-07-01,341381.0,9.0,63.7,189215.0,0.07,225.922,3.4
2011-06-01,346620.0,9.1,71.5,216548.0,0.09,225.722,3.8
