Date,Price,Open,High,Low,Change %
"Nov 15, 2021",1.548,1.57,1.57,1.543,-1.63%
"Nov 14, 2021",1.573,1.57,1.573,1.57,0.22%
"Nov 12, 2021",1.57,1.577,1.589,1.541,-0.54%
"Nov 11, 2021",1.578,1.585,1.585,1.578,0.54%
"Nov 10, 2021",1.57,1.463,1.592,1.454,9.07%
"Nov 09, 2021",1.439,1.49,1.49,1.415,-3.61%
"Nov 08, 2021",1.493,1.464,1.504,1.46,2.15%
"Nov 07, 2021",1.462,1.46,1.462,1.46,0.48%
"Nov 05, 2021",1.455,1.545,1.552,1.436,-4.90%
"Nov 04, 2021",1.53,1.593,1.609,1.509,-4.60%
"Nov 03, 2021",1.603,1.554,1.609,1.519,3.65%
"Nov 02, 2021",1.547,1.568,1.573,1.528,-0.90%
"Nov 01, 2021",1.561,1.575,1.605,1.554,-1.00%
"Oct 31, 2021",1.577,1.575,1.577,1.573,1.01%
"Oct 29, 2021",1.561,1.568,1.619,1.536,-1.10%
"Oct 28, 2021",1.578,1.541,1.584,1.53,1.81%
"Oct 27, 2021",1.55,1.617,1.634,1.52,-3.70%
"Oct 26, 2021",1.61,1.636,1.654,1.609,-1.40%
"Oct 25, 2021",1.633,1.648,1.673,1.62,-0.96%
"Oct 24, 2021",1.648,1.647,1.65,1.647,0.65%
"Oct 22, 2021",1.638,1.692,1.699,1.634,-3.43%
"Oct 21, 2021",1.696,1.665,1.705,1.638,2.14%
"Oct 20, 2021",1.66,1.658,1.673,1.62,1.19%
"Oct 19, 2021",1.641,1.591,1.646,1.566,3.10%
"Oct 18, 2021",1.591,1.589,1.627,1.576,0.12%
"Oct 17, 2021",1.589,1.591,1.591,1.589,1.00%
"Oct 15, 2021",1.574,1.519,1.579,1.518,3.81%
"Oct 14, 2021",1.516,1.547,1.566,1.507,-1.69%
"Oct 13, 2021",1.542,1.572,1.602,1.526,-1.88%
"Oct 12, 2021",1.572,1.629,1.631,1.565,-3.44%
"Oct 11, 2021",1.628,1.622,1.628,1.622,0.98%
"Oct 08, 2021",1.612,1.585,1.617,1.558,2.25%
"Oct 07, 2021",1.576,1.531,1.58,1.512,3.19%
"Oct 06, 2021",1.528,1.536,1.573,1.508,0.00%
"Oct 05, 2021",1.528,1.486,1.54,1.472,3.17%
"Oct 04, 2021",1.481,1.46,1.508,1.453,1.42%
"Oct 03, 2021",1.46,1.462,1.462,1.46,-0.35%
"Oct 01, 2021",1.465,1.501,1.51,1.462,-1.84%
"Sep 30, 2021",1.492,1.51,1.557,1.484,-2.04%
"Sep 29, 2021",1.524,1.55,1.56,1.494,-1.46%
"Sep 28, 2021",1.546,1.484,1.567,1.475,3.72%
"Sep 27, 2021",1.491,1.465,1.516,1.442,1.78%
"Sep 26, 2021",1.465,1.463,1.465,1.463,0.83%
"Sep 24, 2021",1.453,1.428,1.466,1.405,1.21%
"Sep 23, 2021",1.435,1.309,1.437,1.309,10.07%
"Sep 22, 2021",1.304,1.316,1.345,1.296,-1.79%
"Sep 21, 2021",1.328,1.311,1.346,1.304,1.17%
"Sep 20, 2021",1.312,1.362,1.372,1.297,-3.73%
"Sep 19, 2021",1.363,1.363,1.363,1.363,0.00%
"Sep 17, 2021",1.363,1.339,1.385,1.326,2.04%
"Sep 16, 2021",1.336,1.304,1.351,1.294,2.47%
"Sep 15, 2021",1.304,1.287,1.321,1.26,1.58%
"Sep 14, 2021",1.284,1.326,1.35,1.263,-3.19%
"Sep 13, 2021",1.326,1.343,1.35,1.316,-1.13%
"Sep 12, 2021",1.341,1.343,1.343,1.341,-0.13%
"Sep 10, 2021",1.343,1.304,1.355,1.3,3.52%
"Sep 09, 2021",1.297,1.338,1.346,1.287,-2.90%
"Sep 08, 2021",1.336,1.368,1.377,1.327,-2.96%
"Sep 07, 2021",1.377,1.336,1.385,1.336,3.05%
"Sep 06, 2021",1.336,1.334,1.336,1.334,0.77%
"Sep 03, 2021",1.326,1.292,1.336,1.267,3.15%
"Sep 02, 2021",1.285,1.304,1.305,1.283,-1.04%
"Sep 01, 2021",1.299,1.317,1.334,1.283,-0.64%
"Aug 31, 2021",1.307,1.28,1.316,1.27,2.10%
"Aug 30, 2021",1.28,1.307,1.316,1.278,-2.18%
"Aug 29, 2021",1.309,1.31,1.31,1.309,-0.13%
"Aug 27, 2021",1.31,1.347,1.359,1.3,-3.23%
"Aug 26, 2021",1.354,1.344,1.375,1.332,0.38%
"Aug 25, 2021",1.349,1.295,1.352,1.283,4.02%
"Aug 24, 2021",1.297,1.257,1.299,1.257,3.48%
"Aug 23, 2021",1.253,1.26,1.283,1.252,-0.53%
"Aug 22, 2021",1.26,1.258,1.26,1.258,0.40%
"Aug 20, 2021",1.255,1.243,1.267,1.227,0.94%
"Aug 19, 2021",1.243,1.263,1.267,1.22,-1.33%
"Aug 18, 2021",1.26,1.26,1.3,1.255,-0.53%
"Aug 17, 2021",1.267,1.263,1.273,1.217,-0.13%
"Aug 16, 2021",1.268,1.285,1.285,1.223,-1.17%
"Aug 15, 2021",1.283,1.285,1.285,1.283,0.00%
"Aug 13, 2021",1.283,1.357,1.364,1.28,-5.68%
"Aug 12, 2021",1.361,1.345,1.379,1.334,1.89%
"Aug 11, 2021",1.335,1.357,1.378,1.302,-1.38%
"Aug 10, 2021",1.354,1.322,1.357,1.307,2.17%
"Aug 09, 2021",1.325,1.297,1.331,1.268,1.54%
"Aug 06, 2021",1.305,1.227,1.305,1.225,6.54%
"Aug 05, 2021",1.225,1.19,1.229,1.169,3.80%
"Aug 04, 2021",1.18,1.177,1.215,1.127,0.56%
"Aug 03, 2021",1.174,1.181,1.2,1.154,-0.43%
"Aug 02, 2021",1.179,1.237,1.245,1.151,-3.81%
"Jul 30, 2021",1.226,1.263,1.264,1.224,-3.18%
"Jul 29, 2021",1.266,1.239,1.284,1.231,2.28%
"Jul 28, 2021",1.238,1.243,1.278,1.226,-0.14%
"Jul 27, 2021",1.239,1.29,1.29,1.229,-4.26%
"Jul 26, 2021",1.295,1.283,1.296,1.221,0.90%
"Jul 25, 2021",1.283,1.28,1.283,1.28,0.13%
"Jul 23, 2021",1.281,1.268,1.311,1.268,0.37%
"Jul 22, 2021",1.277,1.288,1.317,1.233,-1.17%
"Jul 21, 2021",1.292,1.227,1.303,1.194,5.72%
"Jul 20, 2021",1.222,1.209,1.225,1.128,1.93%
"Jul 19, 2021",1.199,1.27,1.29,1.174,-5.51%
"Jul 18, 2021",1.269,1.299,1.299,1.267,-2.44%
"Jul 16, 2021",1.3,1.302,1.336,1.292,0.00%
"Jul 15, 2021",1.301,1.346,1.349,1.292,-3.60%
"Jul 14, 2021",1.349,1.415,1.423,1.347,-4.87%
"Jul 13, 2021",1.418,1.366,1.422,1.343,3.69%
"Jul 12, 2021",1.368,1.361,1.376,1.326,0.36%
"Jul 11, 2021",1.363,1.36,1.363,1.36,0.12%
"Jul 09, 2021",1.361,1.306,1.363,1.306,5.15%
"Jul 08, 2021",1.294,1.32,1.321,1.25,-2.15%
"Jul 07, 2021",1.323,1.357,1.368,1.296,-2.12%
"Jul 06, 2021",1.352,1.439,1.449,1.348,-5.86%
"Jul 05, 2021",1.436,1.437,1.437,1.436,0.35%
"Jul 02, 2021",1.431,1.468,1.471,1.426,-1.98%
"Jul 01, 2021",1.459,1.47,1.485,1.454,-0.58%
"Jun 30, 2021",1.468,1.477,1.485,1.438,-0.46%
"Jun 29, 2021",1.475,1.483,1.51,1.471,-0.46%
"Jun 28, 2021",1.482,1.528,1.534,1.471,-3.00%
"Jun 27, 2021",1.528,1.522,1.528,1.522,0.22%
"Jun 25, 2021",1.524,1.494,1.544,1.478,1.69%
