Date,Price,Open,High,Low,Change %
"Nov 15, 2021",0.046,0.053,0.066,0.048,-17.56%
"Nov 14, 2021",0.0558,0.0532,0.0558,0.0532,5.28%
"Nov 12, 2021",0.053,0.053,0.066,0.051,4.54%
"Nov 11, 2021",0.0507,0.0507,0.0507,0.0507,-0.59%
"Nov 10, 2021",0.051,0.048,0.051,0.043,10.87%
"Nov 09, 2021",0.046,0.053,0.053,0.046,12.20%
"Nov 08, 2021",0.041,0.048,0.058,0.041,-10.09%
"Nov 07, 2021",0.0456,0.0456,0.0456,0.0456,-0.87%
"Nov 05, 2021",0.046,0.053,0.061,0.046,12.20%
"Nov 04, 2021",0.041,0.053,0.058,0.041,-19.61%
"Nov 03, 2021",0.051,0.051,0.058,0.046,0.00%
"Nov 02, 2021",0.051,0.056,0.058,0.051,6.25%
"Nov 01, 2021",0.048,0.063,0.068,0.046,-17.67%
"Oct 31, 2021",0.0583,0.0608,0.0608,0.0583,0.52%
"Oct 29, 2021",0.058,0.061,0.071,0.053,3.57%
"Oct 28, 2021",0.056,0.061,0.066,0.051,0.00%
"Oct 27, 2021",0.056,0.056,0.058,0.056,0.00%
"Oct 26, 2021",0.056,0.058,0.066,0.056,0.00%
"Oct 25, 2021",0.056,0.061,0.066,0.056,-3.95%
"Oct 24, 2021",0.0583,0.0608,0.0608,0.0583,-4.43%
"Oct 22, 2021",0.061,0.063,0.063,0.056,8.93%
"Oct 21, 2021",0.056,0.066,0.066,0.053,0.00%
"Oct 20, 2021",0.056,0.056,0.056,0.051,0.00%
"Oct 19, 2021",0.056,0.056,0.058,0.053,5.66%
"Oct 18, 2021",0.053,0.051,0.061,0.051,-12.83%
"Oct 17, 2021",0.0608,0.0583,0.0608,0.0583,26.67%
"Oct 15, 2021",0.048,0.056,0.061,0.046,4.35%
"Oct 14, 2021",0.046,0.063,0.066,0.046,-9.80%
"Oct 13, 2021",0.051,0.056,0.056,0.051,0.00%
"Oct 12, 2021",0.051,0.058,0.061,0.048,-4.14%
"Oct 11, 2021",0.0532,0.0507,0.0532,0.0507,4.31%
"Oct 08, 2021",0.051,0.053,0.063,0.051,-3.77%
"Oct 07, 2021",0.053,0.048,0.061,0.043,15.22%
"Oct 06, 2021",0.046,0.041,0.051,0.041,12.20%
"Oct 05, 2021",0.041,0.041,0.056,0.041,7.89%
"Oct 04, 2021",0.038,0.038,0.051,0.036,7.04%
"Oct 03, 2021",0.0355,0.0355,0.0355,0.0355,-6.58%
"Oct 01, 2021",0.038,0.043,0.079,0.036,0.00%
"Sep 30, 2021",0.038,0.041,0.048,0.036,-7.32%
"Sep 29, 2021",0.041,0.041,0.046,0.036,0.00%
"Sep 28, 2021",0.041,0.046,0.046,0.036,36.67%
"Sep 27, 2021",0.03,0.041,0.043,0.03,-21.05%
"Sep 26, 2021",0.038,0.038,0.038,0.038,8.57%
"Sep 24, 2021",0.035,0.041,0.043,0.033,16.67%
"Sep 23, 2021",0.03,0.036,0.041,0.03,0.00%
"Sep 22, 2021",0.03,0.03,0.036,0.025,20.00%
"Sep 21, 2021",0.025,0.038,0.038,0.025,-16.67%
"Sep 20, 2021",0.03,0.043,0.046,0.028,-26.11%
"Sep 19, 2021",0.0406,0.0406,0.0406,0.0406,6.84%
